identity;dept;clage90;valuedate;valuePDivT;speedPDivT;accelerationPDivT
WPCR-256982;91;0;2021-01-15T00:00;0,067386290231;-0,000796038001;0,000493364199
WPCR-256993;91;0;2021-01-16T00:00;0,061867551163;-0,005518739068;-0,004722701066
WPCR-257004;91;0;2021-01-17T00:00;0,052618324804;-0,009249226359;-0,003730487292
WPCR-257015;91;0;2021-01-18T00:00;0,062295357212;0,009677032408;0,018926258768
WPCR-257026;91;0;2021-01-19T00:00;0,069424446151;0,007129088939;-0,002547943469
WPCR-257037;91;0;2021-01-20T00:00;0,080177839457;0,010753393306;0,003624304367
WPCR-257048;91;0;2021-01-21T00:00;0,072966561682;-0,007211277775;-0,017964671081
WPCR-1278091;91;0;2021-01-23T00:00;0,073546625269;0,000290031794;0,003750654785
WPCR-1278102;91;0;2021-01-24T00:00;0,06825906859;-0,005287556679;-0,005577588472
WPCR-1278113;91;0;2021-01-25T00:00;0,073479670125;0,005220601534;0,010508158213
WPCR-1278124;91;0;2021-01-26T00:00;0,072180222544;-0,001299447581;-0,006520049115
WPCR-1278135;91;0;2021-01-27T00:00;0,075791555229;0,003611332685;0,004910780266
WPCR-1278146;91;0;2021-01-28T00:00;0,069395140327;-0,006396414902;-0,010007747587
WPCR-1278157;91;0;2021-01-29T00:00;0,064725712808;-0,004669427519;0,001726987383
WPCR-1278168;91;0;2021-01-30T00:00;0,06594179529;0,001216082482;0,005885510001
WPCR-1278179;91;0;2021-01-31T00:00;0,06061300788;-0,00532878741;-0,006544869891
WPCR-1278190;91;0;2021-02-01T00:00;0,066676216545;0,006063208665;0,011391996074
WPCR-1278201;91;0;2021-02-02T00:00;0,064547961442;-0,002128255103;-0,008191463768
WPCR-1278212;91;0;2021-02-03T00:00;0,072330165951;0,007782204509;0,009910459612
WPCR-1278223;91;0;2021-02-04T00:00;0,068876894145;-0,003453271805;-0,011235476314
WPCR-1278234;91;0;2021-02-05T00:00;0,065459326866;-0,003417567279;0,000035704526
WPCR-1278245;91;0;2021-02-06T00:00;0,063164686572;-0,002294640294;0,001122926985
WPCR-1278256;91;0;2021-02-07T00:00;0,065576911279;0,002412224707;0,004706865001
WPCR-1278267;91;0;2021-02-08T00:00;0,070953936463;0,005377025184;0,002964800477
WPCR-1278278;91;0;2021-02-09T00:00;0,072635879417;0,001681942955;-0,003695082229
WPCR-1278289;91;0;2021-02-10T00:00;0,069897092656;-0,002738786762;-0,004420729716
WPCR-1278300;91;0;2021-02-11T00:00;0,066221784334;-0,003675308321;-0,00093652156
WPCR-1786319;91;0;2021-02-12T00:00;0,062532629341;-0,003689154994;-0,000013846672
WPCR-1786330;91;0;2021-02-13T00:00;0,062893669158;0,000361039818;0,004050194811
WPCR-1786341;91;0;2021-02-14T00:00;0,076388353366;0,013494684208;0,01313364439
WPCR-1786352;91;0;2021-02-15T00:00;0,082315312435;0,005926959069;-0,007567725139
WPCR-1786363;91;0;2021-02-16T00:00;0,08841164969;0,006096337255;0,000169378186
WPCR-1786374;91;0;2021-02-17T00:00;0,084499646892;-0,003912002798;-0,010008340053
WPCR-1786385;91;0;2021-02-18T00:00;0,08854450319;0,004044856299;0,007956859097
WPCR-1786396;91;0;2021-02-19T00:00;0,090612380025;0,002067876834;-0,001976979464
WPCR-2192413;91;0;2021-02-20T00:00;0,092024969702;0,001412589677;-0,000655287157
WPCR-2192424;91;0;2021-02-21T00:00;0,090848642655;-0,001176327047;-0,002588916724
WPCR-2192435;91;0;2021-02-22T00:00;0,100939802534;0,010091159879;0,011267486926
WPCR-2192446;91;0;2021-02-23T00:00;0,104684183821;0,003744381287;-0,006346778592
WPCR-2192457;91;0;2021-02-24T00:00;0,11494321586;0,010259032038;0,006514650751
WPCR-2192468;91;0;2021-02-25T00:00;0,107964983929;-0,006978231931;-0,017237263969
